,changed,created,dnssec,expires,isMalicious,url
0,2015-04-03 00:00:00,2014-04-10 00:00:00,False,2016-04-10 00:00:00,0,nuteczki.com
1,2015-05-14 00:00:00,2015-01-31 00:00:00,False,2016-01-31 00:00:00,0,daftarcaramembuat.com
2,,2009.06.11,,2016-06-11 00:00:00,0,price59.ru
3,2014-11-20 03:51:55,,False,,0,bulinews.de
4,,,,,0,game.es
5,False,False,,False,0,mailbox.pt
6,2014-02-05 00:00:00,: 2004-11-04T01:34:38Z,False,2015-11-04 00:00:00,0,buildyourownclone.com
7,2014-12-31 08:08:01,2002-12-05 00:00:00,False,,0,nomura-tailor.co.jp
8,2014-10-31 09:14:09,1996-10-22 00:00:00,False,,0,bunkei.co.jp
9,2014-03-12 04:19:36,,False,,0,fc-heidenheim.de
10,2015-06-14 00:00:00,2012-06-12 00:00:00,False,2016-06-12 00:00:00,0,memebucket.com
11,2015-04-16 00:00:00,2003-05-21 00:00:00,False,2016-05-21 00:00:00,0,lphant.net
12,2013-03-24 00:00:00,,,2018-04-05 00:00:00,0,kamnanews.ir
13,,2010-01-17 00:00:00,False,,0,delivento.be
14,2014-12-14 00:00:00,2014-11-29 00:00:00,False,2015-11-29 00:00:00,0,deldette.com
15,2015-06-10 00:00:00,2015-06-04 00:00:00,False,2016-06-04 00:00:00,0,baja-todo.net
16,2013-05-08 00:29:04,,False,,0,onlineformat.de
17,2015-06-29 00:00:00,2013-01-07 00:00:00,False,2017-01-07 00:00:00,0,tia-tanaka.com
18,2014-12-10 00:00:00,2006-12-16 00:00:00,False,2015-12-16 00:00:00,0,288idc.com
19,2015-05-21 00:00:00,2012-08-08 00:00:00,,2016-08-08 00:00:00,0,hangplas.co.uk
20,2015-05-04 00:00:00,2014-01-19 00:00:00,False,2017-01-19 00:00:00,0,teamcrop.com
21,,,,,0,pec.coop
22,2014-11-28 00:00:00,2014-01-17 00:00:00,False,2016-01-17 00:00:00,0,angkamain.net
23,2015-01-24 00:00:00,2006-03-27 00:00:00,False,2016-03-27 00:00:00,0,hotspotshield.com
24,2015-02-17 00:00:00,2014-12-11 00:00:00,False,2015-12-11 00:00:00,0,daniellealinia.com
25,2015-03-12 18:31:42,2014-02-17 12:42:07,unsigned,2016-02-17 00:00:00,0,clencycle.com
26,2015-02-04 00:00:00,2012-02-07 00:00:00,False,2016-02-07 00:00:00,0,livep2ptvstream.com
27,,2014.09.09,,2015-09-09 00:00:00,0,obnovisoft1.ru
28,2015-01-12 19:41:14,2014-07-17 16:40:35,False,2015-07-17 16:40:35,0,informacoesvariadas.org
29,2014-09-19 00:00:00,2012-10-20 00:00:00,False,2015-10-20 00:00:00,0,panelwm.net
30,2014-12-23 00:00:00,2013-12-13 00:00:00,False,2015-12-13 00:00:00,0,speedtour.net
31,2015-04-14 00:00:00,2004-03-02 00:00:00,False,2016-03-02 00:00:00,0,boobsview.com
32,,2014-01-20 06:43:53,False,2016-01-20 06:43:53,0,kristin.bg
33,,,,,0,vid.ly
34,,2010.04.03,,2016-04-03 00:00:00,0,nt24.ru
35,2015-04-25 00:00:00,2011-01-27 00:00:00,False,2016-01-27 00:00:00,0,microcentertech.com
36,2014-08-28 00:00:00,2012-08-27 00:00:00,False,2015-08-27 00:00:00,0,webnovant.com
37,2013-07-06 00:00:00,2004-06-01 00:00:00,False,2020-06-01 00:00:00,0,deeperblue.com
38,False,False,,False,0,cartorio15.com.br
39,,,True,,0,chicklit.nl
40,2013-10-24 00:00:00,2007-11-17 00:00:00,False,2021-11-17 00:00:00,0,cruise118.com
41,2015-06-18 00:00:00,2005-07-20 00:00:00,,2016-07-20 00:00:00,0,homeaway.ca
42,2012-08-23 00:00:00,1997-03-05 00:00:00,False,2016-03-06 00:00:00,0,kinlingrover.com
43,2015-01-28 15:37:52,1996-03-05 21:00:00,Unsigned,2016-03-07 00:00:00,0,employs.com
44,,2011.01.18,,2016-01-18 00:00:00,0,7sof.ru
45,2015-01-28 18:23:36,2014-12-16 12:26:46,Unsigned,2017-01-08 00:00:00,0,samsungpromotions.com
46,2015-04-19 00:00:00,2005-11-21 00:00:00,False,2015-11-21 00:00:00,0,gokulnath.com
47,2015-05-06 00:00:00,2007-06-07 00:00:00,False,2017-06-07 00:00:00,0,johnhealdsblog.com
48,2014-02-28 00:00:00,2006-03-13 00:00:00,False,2016-03-13 00:00:00,0,rosanerastore.com
49,2015-04-30 00:00:00,2013-01-31 00:00:00,False,2017-01-31 00:00:00,0,tryanythingonceculinary.com
50,2014-12-31 08:03:52,1999-12-22 00:00:00,False,,0,takagi-sec.co.jp
51,2015-02-03 00:00:00,2007-01-15 00:00:00,False,2017-01-15 00:00:00,0,trefsport.com
52,False,False,,False,0,sabiasque.pt
53,2015-07-06 00:00:00,2008-12-09 00:00:00,False,,0,stallergenes.fr
54,2015-03-07 00:48:36,1997-05-04 21:00:00,False,2016-05-05 21:00:00,0,russianembassy.org
55,2015-02-06 00:00:00,2006-02-05 00:00:00,False,2016-02-05 00:00:00,0,erikalust.com
56,,2014.10.07,,2015-10-07 00:00:00,0,tvoy-sayt.ru
57,2015-06-29 00:00:00,2008-07-29 00:00:00,False,2016-07-29 00:00:00,0,jbiomedsci.com
58,2014-02-05 11:50:22,1997-07-15 21:00:00,False,2015-07-15 00:00:00,0,carling.com
59,2015-04-12 20:38:33,2014-07-29 21:22:12,False,2015-07-29 21:22:12,0,cityinnovate.org
60,2015-03-14 00:00:00,2015-03-14 00:00:00,False,2016-03-14 00:00:00,0,gbgb66.com
61,,,,,0,bocajuniors.com.ar
62,2015-04-11 00:00:00,2015-04-10 00:00:00,False,2016-04-10 00:00:00,0,cdruiyao.com
63,2015-04-04 00:00:00,2005-05-02 00:00:00,False,2016-05-02 00:00:00,0,roirocket.com
64,2013-01-31 18:03:20,2004-11-03 15:26:50,False,2018-11-03 16:26:50,0,vvuhsd.org
65,2015-04-11 00:00:00,2010-05-10 00:00:00,False,2016-05-10 00:00:00,0,pokemon-gl.com
66,,,False,,0,omanlover.org
67,2014-12-05 00:00:00,2013-12-19 00:00:00,False,2017-12-19 00:00:00,0,kapturecrm.com
68,2014-04-05 19:17:46,1996-03-11 21:00:00,False,2019-03-12 22:00:00,0,wocn.org
69,2014-05-21 00:00:00,2008-05-20 00:00:00,False,2016-05-20 00:00:00,0,aristotlecircle.com
70,2014-12-14 00:00:00,20120713 #10168763,,2015-07-13 00:00:00,0,compraimportados.com.br
71,2015-02-20 00:00:00,20120229 #9561512,,2016-03-01 00:00:00,0,dafitidev.com.br
72,2014-03-04 13:50:34,,False,,0,stuttgartfestival.de
73,2015-03-25 00:00:00,2013-04-24 00:00:00,,2016-04-24 00:00:00,0,beardbrand.co.uk
74,2015.06.16 10:16:09,2011.12.07 11:21:33,False,2016.12.07 11:21:33,0,hellozdrowie.pl
75,,,,,0,modena.co.id
76,2015-06-15 00:00:00,2002-06-14 00:00:00,False,2016-06-14 00:00:00,0,drugs-forum.com
77,2014-12-28 00:00:00,2011-12-27 00:00:00,False,2015-12-27 00:00:00,0,carlaaston.com
78,2014-11-06 00:00:00,2012-12-05 00:00:00,False,2015-12-05 00:00:00,0,gsmaintelligence.com
79,,2011.11.02,,2015-11-02 00:00:00,0,techliter.ru
80,,2014.07.01,,2016-07-01 00:00:00,0,pm4u.ru
81,2014-03-18 00:00:00,2011-04-13 00:00:00,,2024-04-13 00:00:00,0,buzzbee.co.kr
82,2015-04-18 00:00:00,2004-05-19 00:00:00,False,2017-05-19 00:00:00,0,chasebenefits.com
83,2014-11-21 00:00:00,2009-02-19 00:00:00,False,2016-02-19 00:00:00,0,jvc-media.com
84,2011-09-28 10:14:11,1996-10-21 21:00:00,False,2016-10-20 21:00:00,0,mfri.org
85,2014-08-20 00:44:16,2006-11-03 00:00:00,,2015-08-04 00:00:00,0,mediajobs.it
