,changed,created,dnssec,expires,url
487471,,2005-07-31 00:00:00,,2018-07-31 00:00:00,casanovafurniture.dk
60377,2015-03-20 00:00:00,2005-05-15 00:00:00,False,2017-05-15 00:00:00,chaoshanren.com
468152,,1998-02-16 00:00:00,,2016-03-31 00:00:00,tax.dk
894284,2015-02-25 00:00:00,2013-11-21 00:00:00,False,2015-11-21 00:00:00,hydrabug.com
947595,,,,,instabrowse.es
246512,2014-04-19 00:00:00,2008-05-20 00:00:00,False,2016-05-20 00:00:00,alizila.com
625442,2014-12-24 00:00:00,2008-01-15 00:00:00,False,2016-01-15 00:00:00,spikemilrev.com
102998,2015-05-19 05:51:00,2006-04-12 16:12:39,False,2016-04-12 00:00:00,subefotos.com
351742,,2013.03.18,,2016-03-18 00:00:00,hdlt.ru
215200,2015-02-27 17:45:26,2000-03-29 10:18:56,unSigned,2016-03-29 00:00:00,mileageplanshopping.com
376824,2009-12-11 00:00:00,2009-12-11 00:00:00,False,,justsearch.fr
771221,2014-05-19 00:00:00,2014-05-18 00:00:00,False,2016-05-18 00:00:00,talonjapan.com
29593,2014-10-22 00:00:00,2008-02-01 00:00:00,False,2016-02-01 00:00:00,lowendbox.com
623977,2015-04-24 00:00:00,2010-09-28 00:00:00,False,2015-09-28 00:00:00,mumkhal.com
159907,2014-11-14 00:00:00,2014-10-02 00:00:00,False,2015-10-02 00:00:00,saveonwp.com
441859,,,,,cargps.gr
669967,2014-12-07 00:00:00,2012-01-04 00:00:00,False,2016-01-04 00:00:00,glamourhairypussy.com
5849,2015-06-11 15:50:49,2000-09-05 05:39:01,False,2016-09-05 00:00:00,serebii.net
330401,2014-11-03 00:00:00,2014-10-13 00:00:00,False,2015-10-13 00:00:00,shelldreamsoverseas.com
569972,2014-11-27 00:50:25,2011-11-11 11:19:48,,2015-11-11 00:00:00,vividanone.it
928942,2015-06-22 00:00:00,2014-07-21 00:00:00,False,2024-07-21 00:00:00,maldivesdirect.com
697262,,,False,,imageenlarger.org
666199,2015-01-19 00:00:00,,,2017-01-24 00:00:00,tins.ir
618746,2014-09-01 00:00:00,2006-12-04 00:00:00,False,2015-12-04 00:00:00,palmu.fi
336195,,,False,,rybolov.org
428849,,,,,eksedra.gr
325467,2014-07-17 00:00:00,2010-08-12 00:00:00,False,2015-08-12 00:00:00,fashionistabarbieuk.com
337591,2015-06-29 00:00:00,1999-12-01 00:00:00,False,2017-12-01 00:00:00,easygps.com
839619,2015-01-31 00:00:00,2014-03-02 00:00:00,False,2016-03-02 00:00:00,blackandwhitetube.net
274516,2014-04-11 00:00:00,2006-04-16 00:00:00,False,2016-04-16 00:00:00,thenumerati.net
282132,2015-05-31 09:03:23,1994-05-06 00:00:00,False,,pasco.co.jp
295002,2015-05-22 23:33:38,1996-07-22 21:00:00,Unsigned,2016-07-22 00:00:00,brett-robinson.com
587250,,,False,,queencreek.org
526923,2015-03-19 00:00:00,2013-09-10 00:00:00,False,2016-09-10 00:00:00,nationalrockreview.com
487848,2015-03-09 00:00:00,2013-03-08 00:00:00,False,2016-03-08 00:00:00,bigbazaarprofitclub.com
606186,2013-10-28 00:00:00,1999-04-15 00:00:00,False,2018-04-15 00:00:00,ru-history.livejournal.com
766863,2014-06-02 00:00:00,1996-05-30 00:00:00,,2016-07-31 00:00:00,slucare.edu
292903,,,,,vidaxl.hr
537575,2015-02-03 03:39:26,1995-09-19 17:00:00,unsigned,2015-09-19 00:00:00,reedbusiness.com
509587,2014-09-09 00:00:00,,,2015-10-06 00:00:00,hracky-predeti.sk
891551,2015-01-24 00:00:00,2003-12-02 00:00:00,False,2016-12-02 00:00:00,awesomedude.com
304789,,,,,refanshop.bg
53704,2015-05-30 00:00:00,2000-10-17 00:00:00,,2019-12-18 00:00:00,athabascau.ca
490667,2002-11-23 00:00:00,1996-03-31 00:00:00,,2016-07-31 00:00:00,ndc.edu
396932,,2009.02.21,,2016-02-21 00:00:00,vse-4x4.ru
226725,2015-01-03 00:00:00,2011-08-06 00:00:00,False,2015-08-06 00:00:00,frozenshop.com
941526,,,False,,bratislavabeznackov.org
562326,2015-06-30 09:06:08,1999-06-11 00:00:00,False,,kitchoan.co.jp
445566,2015-03-10 00:00:00,2010-04-14 00:00:00,False,2020-04-14 00:00:00,bilezikci.com
19831,2013-03-14 08:33:43,,False,,xcams.de
543564,2015.02.24 14:47:06,2012.03.05 17:49:31,False,2016.03.05 17:49:31,meetgoogle.pl
184500,2015-03-01 00:00:00,2014-03-30 00:00:00,False,2016-03-30 00:00:00,skitterphoto.com
829211,2015-06-10 00:00:00,2013-06-09 00:00:00,False,2016-06-09 00:00:00,hashslush.com
331129,2015-04-16 00:00:00,2006-05-16 00:00:00,False,2016-05-16 00:00:00,knowfengshui.com
442588,2014-08-01 00:00:00,2014-07-16 00:00:00,False,2016-07-16 00:00:00,urwebby.com
658562,2014-09-16 00:00:00,2009-10-16 00:00:00,False,2023-10-16 00:00:00,cairogossip.com
398388,2014-07-29 00:00:00,2008-09-01 00:00:00,False,2015-09-01 00:00:00,vukovisadunava.com
649474,2015-02-07 00:00:00,2008-07-13 00:00:00,False,2015-07-13 00:00:00,nassaem.com
920804,2014-07-19 00:00:00,2014-07-19 00:00:00,False,2015-07-19 00:00:00,getintouchwithcash.com
241244,2012-04-02 00:00:00,2002-01-24 00:00:00,False,2021-06-04 00:00:00,daflores.com
690568,2014-08-08 00:00:00,2000-08-23 00:00:00,,2015-08-22 00:00:00,britishcouncil.or.th
617602,2015-05-01 00:00:00,2013-02-25 00:00:00,False,2016-02-25 00:00:00,gypsylovinlight.com
276653,2015-06-22 00:00:00,2010-06-21 00:00:00,False,2016-06-21 00:00:00,codeus.net
719466,,,False,,csg.org
118905,2015-04-15 00:00:00,2010-08-11 00:00:00,False,2017-08-11 00:00:00,qibosoft.com
541343,2014-12-18 00:00:00,2014-11-06 00:00:00,False,2015-11-06 00:00:00,camsloveaholics.com
967536,2012-08-27 00:00:00,2010-09-01 00:00:00,False,2015-09-01 00:00:00,trackmylaptop.net
651045,2011-08-08 10:53:03,2007-10-30 06:20:05,False,2020-10-30 00:00:00,ns-drop.com
904081,2015-04-28 00:00:00,2010-04-27 00:00:00,False,2016-04-27 00:00:00,predatorbdu.com
876179,2011-06-09 00:00:00,2002-07-29 00:00:00,,2015-07-31 00:00:00,suscc.edu
770757,2015-06-16 07:33:11,,False,,bestprotection.de
779886,2015-04-30 00:00:00,2008-05-05 00:00:00,,2016-05-04 00:00:00,sivegam.org.mx
417419,False,False,,False,apln-blog.fr
957989,2014-09-11 00:00:00,2009-09-07 00:00:00,False,2015-09-07 00:00:00,namecheapcouponcode.com
521788,2014.08.05 10:36:46,2010.08.24 08:22:23,False,2015.08.24 08:22:23,electrogsm.pl
84676,False,False,,False,bvbrindesmkt.com.br
811200,,,False,,pugetsoundoff.org
15247,2014-09-16 00:00:00,2014-01-17 00:00:00,,2024-01-17 00:00:00,serplab.co.uk
633174,2015-06-25 00:00:00,2009-08-23 00:00:00,False,2016-08-23 00:00:00,painted-ladies.com
845235,2012-04-10 00:00:00,2006-09-21 00:00:00,False,2015-09-21 00:00:00,import-sales.com
608437,False,False,,False,protel.com.tr
69884,2012-06-20 00:00:00,2003-05-07 00:00:00,False,2015-10-02 00:00:00,mailanyone.net
199597,False,False,,False,chevroletnova.com.br
